id,title,company,location,job_type,url,description,salary,required_skills,source,scraped_date,programming_languages
121,Senior Software Engineer (Rust/C++/C/C#/Go) - CDI - Paris,Stockly,Paris,CDI,https://www.welcometothejungle.com/fr/companies/stockly/jobs/senior-software-engineer-rust-c-c-c-go-cdi-paris_paris?q=8949b2f67973f13182440490ccfd42cf&o=15091b44-6893-45a1-97cc-c7e370c0634c,,72K à 89K €,,Welcome to the Jungle,2025-04-13 6:30:40,"Go,Rust,C++,C,C#"
122,"Software Engineer (Rust/Go, gRPC, PostgreSQL, NodeJS) - End of studies internship - Paris",Stockly,Paris,Stage,https://www.welcometothejungle.com/fr/companies/stockly/jobs/back-end-developer-intern-rust-grpc-postgresql-nodejs_paris?q=8949b2f67973f13182440490ccfd42cf&o=6385f471-0e7d-4ee0-b149-2fbffb5c518c,,"2K à 2,5K € par mois",,Welcome to the Jungle,2025-04-13 6:30:51,"Go,Rust"
123,"Software Engineer Front (Javascript, Typescript, Angular) - internship - Paris",Stockly,Paris,Stage,https://www.welcometothejungle.com/fr/companies/stockly/jobs/software-engineer-front-typescript-angular-end-of-studies-internship-paris_paris?q=8949b2f67973f13182440490ccfd42cf&o=088ccea0-b0c7-43ec-98ee-0be786980cad,,2K € par mois,,Welcome to the Jungle,2025-04-13 6:30:57,JavaScript
124,Ingénieur Software Mainframe H/F,BNP Paribas,Paris,CDI,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/ingenieur-software-mainframe-cobol-h-f_montreuil_BP_p5ywl78?q=8949b2f67973f13182440490ccfd42cf&o=7d4843e8-6f4e-4d6d-82cf-81d69f59883c,,Not specified,,Welcome to the Jungle,2025-04-13 6:31:03,
125,Software Engineer,Société Générale,La Défense,Stage,https://www.welcometothejungle.com/fr/companies/societe-generale/jobs/software-engineer_la-defense_SG_MQklZLQ?q=8949b2f67973f13182440490ccfd42cf&o=84e67853-20a2-4fc0-90a3-a223bbc52e14,,Not specified,,Welcome to the Jungle,2025-04-13 6:31:10,
126,Software Engineer Java Spring Boot (F/H) - stage,AXA,Nanterre,Stage,https://www.welcometothejungle.com/fr/companies/axa/jobs/software-engineer-java-spring-boot-f-h-stage_nanterre?q=8949b2f67973f13182440490ccfd42cf&o=b077f49b-d3b3-4c30-85b9-310e6a1ba669,,Not specified,,Welcome to the Jungle,2025-04-13 6:31:14,Java
127,Software Discipline Manager (H/F),Thales,Rungis,CDI,https://www.welcometothejungle.com/fr/companies/thales/jobs/software-discipline-manager-h-f_rungis_THALE_NGGQOV7?q=8949b2f67973f13182440490ccfd42cf&o=8fdcc88e-e40c-4333-b248-c6c1018feb22,,Not specified,,Welcome to the Jungle,2025-04-13 6:31:20,
128,​Software Solutions Engineer - NodeJs / Angular React  (H-F),Thales,Aix-en-Provence,CDI,https://www.welcometothejungle.com/fr/companies/thales/jobs/software-solutions-engineer-nodejs-angular-react-h-f_aix-en-provence?q=8949b2f67973f13182440490ccfd42cf&o=1f1d80ca-8e1a-47ad-9738-98cede0117b9,,Not specified,,Welcome to the Jungle,2025-04-13 6:31:27,
129,Senior Manager Expert ALM / Software Engineering process (H/F),Mews Partners,Paris,CDI,https://www.welcometothejungle.com/fr/companies/mews-partners/jobs/senior-manager-expert-alm-software-engineering-process-h-f_paris_MP_K3RG2d0?q=8949b2f67973f13182440490ccfd42cf&o=079c4486-88d4-492b-b702-1d11b89de72c,,Not specified,,Welcome to the Jungle,2025-04-13 6:31:34,
130,Senior Node / TypeScript Software Engineer - Team Banking Experience,Swan,Milano · Bordeaux…Voir plus+4,CDI,https://www.welcometothejungle.com/fr/companies/swan/jobs/senior-node-typescript-software-engineer-team-banking-experience?q=8949b2f67973f13182440490ccfd42cf&o=62a4ecc9-572b-4d05-8df0-24b0770427d9,,Not specified,,Welcome to the Jungle,2025-04-13 6:31:41,TypeScript
